            5.0851,    4.2227,    4.7194,    5.3630,    6.0372, &
            5.1085,    4.2412,    4.7368,    5.3752,    6.0532, &
            5.1314,    4.2591,    4.7537,    5.3869,    6.0687, &
            5.1538,    4.2765,    4.7700,    5.3980,    6.0836, &
            5.1755,    4.2933,    4.7858,    5.4086,    6.0980, &
            5.1967,    4.3095,    4.8010,    5.4186,    6.1118, &
            5.2174,    4.3252,    4.8156,    5.4280,    6.1250, &
            5.2374,    4.3402,    4.8296,    5.4368,    6.1377, &
            5.2568,    4.3547,    4.8430,    5.4450,    6.1497, &
            5.2756,    4.3685,    4.8558,    5.4526,    6.1611, &
            5.2938,    4.3817,    4.8680,    5.4596,    6.1718, &
            5.3113,    4.3943,    4.8795,    5.4659,    6.1820, &
            5.3282,    4.4062,    4.8904,    5.4715,    6.1914, &
            5.3444,    4.4174,    4.9006,    5.4766,    6.2003, &
            5.3599,    4.4280,    4.9101,    5.4809,    6.2084, &
            5.3748,    4.4379,    4.9190,    5.4845,    6.2159, &
            5.3890,    4.4471,    4.9271,    5.4875,    6.2226, &
            5.4024,    4.4556,    4.9346,    5.4897,    6.2287, &
            5.4152,    4.4633,    4.9413,    5.4913,    6.2340, &
            5.4272,    4.4704,    4.9473,    5.4921,    6.2386, &
            5.4384,    4.4767,    4.9526,    5.4921,    6.2425, &
            5.4489,    4.4822,    4.9571,    5.4914,    6.2456, &
            5.4587,    4.4870,    4.9608,    5.4900,    6.2480, &
            5.4677,    4.4910,    4.9638,    5.4878,    6.2495, &
            5.4759,    4.4942,    4.9660,    5.4847,    6.2503, &
            5.4833,    4.4967,    4.9674,    5.4809,    6.2503, &
            5.4899,    4.4983,    4.9680,    5.4763,    6.2495, &
            5.4956,    4.4991,    4.9678,    5.4709,    6.2479, &
            5.5006,    4.4991,    4.9667,    5.4646,    6.2454, &
            5.5047,    4.4982,    4.9648,    5.4575,    6.2421, &
            5.5079,    4.4965,    4.9620,    5.4496,    6.2380, &
            5.5103,    4.4939,    4.9584,    5.4407,    6.2330, &
            5.5119,    4.4905,    4.9539,    5.4311,    6.2271, &
            5.5125,    4.4861,    4.9486,    5.4205,    6.2203, &
            5.5122,    4.4809,    4.9423,    5.4090,    6.2127, &
            5.5111,    4.4748,    4.9351,    5.3966,    6.2041, &
            5.5090,    4.4677,    4.9270,    5.3833,    6.1946, &
            5.5059,    4.4597,    4.9180,    5.3691,    6.1842, &
            5.5020,    4.4508,    4.9080,    5.3539,    6.1728, &
            5.4971,    4.4409,    4.8971,    5.3378,    6.1605, &
            5.4912,    4.4301,    4.8853,    5.3207,    6.1472, &
            5.4844,    4.4182,    4.8724,    5.3027,    6.1330, &
            5.4765,    4.4054,    4.8586,    5.2836,    6.1178, &
            5.4677,    4.3916,    4.8437,    5.2636,    6.1015, &
            5.4579,    4.3768,    4.8279,    5.2426,    6.0843, &
            5.4470,    4.3610,    4.8110,    5.2205,    6.0660, &
            5.4351,    4.3442,    4.7932,    5.1974,    6.0468, &
            5.4222,    4.3263,    4.7742,    5.1733,    6.0264, &
            5.4082,    4.3073,    4.7542,    5.1481,    6.0051, &
            5.3932,    4.2873,    4.7332,    5.1219,    5.9826, &
            5.3771,    4.2662,    4.7111,    5.0945,    5.9591, &
            5.3599,    4.2441,    4.6879,    5.0661,    5.9345, &
            5.3416,    4.2208,    4.6636,    5.0366,    5.9088, &
            5.3222,    4.1964,    4.6382,    5.0060,    5.8820, &
            5.3017,    4.1710,    4.6117,    4.9743,    5.8541, &
            5.2800,    4.1443,    4.5840,    4.9415,    5.8250, &
            5.2573,    4.1166,    4.5552,    4.9075,    5.7949, &
            5.2333,    4.0877,    4.5253,    4.8723,    5.7635, &
            5.2082,    4.0576,    4.4942,    4.8360,    5.7310, &
            5.1819,    4.0264,    4.4619,    4.7985,    5.6973 &
