            1.3595,    1.3828,    1.3887,    1.4577,    1.5026, &
            1.3601,    1.3835,    1.3895,    1.4589,    1.5041, &
            1.3607,    1.3843,    1.3903,    1.4601,    1.5056, &
            1.3613,    1.3851,    1.3911,    1.4614,    1.5071, &
            1.3619,    1.3859,    1.3920,    1.4626,    1.5086, &
            1.3625,    1.3867,    1.3928,    1.4639,    1.5102, &
            1.3632,    1.3876,    1.3937,    1.4651,    1.5117, &
            1.3638,    1.3884,    1.3946,    1.4664,    1.5133, &
            1.3645,    1.3893,    1.3955,    1.4677,    1.5149, &
            1.3651,    1.3901,    1.3964,    1.4691,    1.5165, &
            1.3658,    1.3910,    1.3973,    1.4704,    1.5181, &
            1.3665,    1.3919,    1.3983,    1.4717,    1.5197, &
            1.3673,    1.3928,    1.3992,    1.4731,    1.5214, &
            1.3680,    1.3937,    1.4002,    1.4745,    1.5230, &
            1.3687,    1.3947,    1.4012,    1.4759,    1.5247, &
            1.3695,    1.3956,    1.4022,    1.4773,    1.5264, &
            1.3703,    1.3966,    1.4032,    1.4787,    1.5281, &
            1.3710,    1.3976,    1.4042,    1.4802,    1.5298, &
            1.3718,    1.3986,    1.4053,    1.4816,    1.5316, &
            1.3727,    1.3996,    1.4063,    1.4831,    1.5334, &
            1.3735,    1.4006,    1.4074,    1.4846,    1.5352, &
            1.3743,    1.4017,    1.4085,    1.4861,    1.5370, &
            1.3752,    1.4027,    1.4096,    1.4876,    1.5388, &
            1.3761,    1.4038,    1.4107,    1.4892,    1.5406, &
            1.3770,    1.4049,    1.4119,    1.4908,    1.5425, &
            1.3779,    1.4060,    1.4130,    1.4923,    1.5444, &
            1.3788,    1.4071,    1.4142,    1.4939,    1.5463, &
            1.3797,    1.4083,    1.4154,    1.4956,    1.5482, &
            1.3807,    1.4094,    1.4166,    1.4972,    1.5501, &
            1.3817,    1.4106,    1.4178,    1.4989,    1.5521, &
            1.3827,    1.4118,    1.4191,    1.5005,    1.5541, &
            1.3837,    1.4130,    1.4203,    1.5022,    1.5561, &
            1.3847,    1.4142,    1.4216,    1.5040,    1.5581, &
            1.3857,    1.4155,    1.4229,    1.5057,    1.5602, &
            1.3868,    1.4167,    1.4242,    1.5074,    1.5622, &
            1.3879,    1.4180,    1.4255,    1.5092,    1.5643, &
            1.3890,    1.4193,    1.4269,    1.5110,    1.5664, &
            1.3901,    1.4206,    1.4283,    1.5128,    1.5686, &
            1.3912,    1.4220,    1.4296,    1.5147,    1.5707, &
            1.3924,    1.4233,    1.4310,    1.5165,    1.5729, &
            1.3935,    1.4247,    1.4325,    1.5184,    1.5751, &
            1.3947,    1.4261,    1.4339,    1.5203,    1.5773, &
            1.3959,    1.4275,    1.4354,    1.5222,    1.5796, &
            1.3971,    1.4289,    1.4369,    1.5242,    1.5818, &
            1.3984,    1.4304,    1.4384,    1.5262,    1.5841, &
            1.3996,    1.4319,    1.4399,    1.5282,    1.5864, &
            1.4009,    1.4334,    1.4415,    1.5302,    1.5888, &
            1.4022,    1.4349,    1.4430,    1.5322,    1.5911, &
            1.4035,    1.4364,    1.4446,    1.5343,    1.5935, &
            1.4049,    1.4380,    1.4462,    1.5364,    1.5960, &
            1.4062,    1.4396,    1.4478,    1.5385,    1.5984, &
            1.4076,    1.4412,    1.4495,    1.5406,    1.6009, &
            1.4090,    1.4428,    1.4512,    1.5428,    1.6034, &
            1.4105,    1.4444,    1.4529,    1.5449,    1.6059, &
            1.4119,    1.4461,    1.4546,    1.5471,    1.6084, &
            1.4134,    1.4478,    1.4563,    1.5494,    1.6110, &
            1.4149,    1.4495,    1.4581,    1.5516,    1.6136, &
            1.4164,    1.4512,    1.4599,    1.5539,    1.6162, &
            1.4179,    1.4530,    1.4617,    1.5562,    1.6189, &
            1.4195,    1.4548,    1.4635,    1.5586,    1.6216 &
