            7.1847, &
            7.2039, &
            7.2225, &
            7.2406, &
            7.2582, &
            7.2751, &
            7.2915, &
            7.3073, &
            7.3224, &
            7.3370, &
            7.3509, &
            7.3642, &
            7.3768, &
            7.3888, &
            7.4001, &
            7.4107, &
            7.4206, &
            7.4298, &
            7.4383, &
            7.4461, &
            7.4531, &
            7.4594, &
            7.4649, &
            7.4696, &
            7.4736, &
            7.4767, &
            7.4791, &
            7.4806, &
            7.4813, &
            7.4811, &
            7.4801, &
            7.4783, &
            7.4756, &
            7.4719, &
            7.4674, &
            7.4620, &
            7.4557, &
            7.4484, &
            7.4402, &
            7.4311, &
            7.4209, &
            7.4098, &
            7.3978, &
            7.3847, &
            7.3706, &
            7.3555, &
            7.3394, &
            7.3222, &
            7.3040, &
            7.2847, &
            7.2643, &
            7.2429, &
            7.2204, &
            7.1967, &
            7.1720, &
            7.1461, &
            7.1190, &
            7.0908, &
            7.0615, &
            7.0310 &
